Year,State,Group,Turnout
2020,Illinois,Overall,0.67
2020,Illinois,Hispanic,0.4581786862418437
2020,Illinois,Young,0.538917388532651
2022,Illinois,Overall,0.46
2022,Illinois,Hispanic,0.27616442947792436
2022,Illinois,Young,0.22171282176158766
2010,Indiana,Overall,0.38
2010,Indiana,Hispanic,0.18051498061642943
2010,Indiana,Young,0.09585795324236647
2012,Indiana,Overall,0.56
2012,Indiana,Hispanic,0.3885831086560275
2012,Indiana,Young,0.3439418868141525
2014,Indiana,Overall,0.29
2014,Indiana,Hispanic,0.160311188927773
2014,Indiana,Young,0.14901576075733589
2016,Indiana,Overall,0.58
2016,Indiana,Hispanic,0.45740554355285906
2016,Indiana,Young,0.4277201333812773
2018,Indiana,Overall,0.47
2018,Indiana,Hispanic,0.3478122322325987
2018,Indiana,Young,0.2967160376232345
2020,Indiana,Overall,0.61
2020,Indiana,Hispanic,0.43998471165002406
2020,Indiana,Young,0.38752771697179406
2022,Indiana,Overall,0.37
2022,Indiana,Hispanic,0.1549648589895348
2022,Indiana,Young,0.14893580403862233
2010,Iowa,Overall,0.51
2010,Iowa,Hispanic,0.2502916576307974
2010,Iowa,Young,0.24532846661449018
2012,Iowa,Overall,0.71
2012,Iowa,Hispanic,0.43734353043945007
2012,Iowa,Young,0.5106709451351243
2014,Iowa,Overall,0.5
2014,Iowa,Hispanic,0.1937593489776918
2014,Iowa,Young,0.19133589532765352
2016,Iowa,Overall,0.69
2016,Iowa,Hispanic,0.4919097303678538
2016,Iowa,Young,0.409490361471471
2018,Iowa,Overall,0.58
2018,Iowa,Hispanic,0.4543060522233109
2018,Iowa,Young,0.332554668291213
2020,Iowa,Overall,0.72
2020,Iowa,Hispanic,0.4514784715526602
2020,Iowa,Young,0.6464007152716481
2022,Iowa,Overall,0.52
2022,Iowa,Hispanic,0.26148987878337066
2022,Iowa,Young,0.23608956771543826
2010,Kansas,Overall,0.43
2010,Kansas,Hispanic,0.27300092179125945
2010,Kansas,Young,0.10653188691774304
2012,Kansas,Overall,0.58
2012,Kansas,Hispanic,0.27661445815230556
2012,Kansas,Young,0.3091352326472763
2014,Kansas,Overall,0.43
2014,Kansas,Hispanic,0.3145112213135926
2014,Kansas,Young,0.1273727325882155
2016,Kansas,Overall,0.6
2016,Kansas,Hispanic,0.47918813927352205
2016,Kansas,Young,0.350630704272985
2018,Kansas,Overall,0.51
2018,Kansas,Hispanic,0.37114820603681276
2018,Kansas,Young,0.33814862371722787
2020,Kansas,Overall,0.65
2020,Kansas,Hispanic,0.45029068214173096
2020,Kansas,Young,0.5283208776566193
2022,Kansas,Overall,0.48
2022,Kansas,Hispanic,0.3183717883199932
2022,Kansas,Young,0.23538416788874003
2010,Kentucky,Overall,0.45
2010,Kentucky,Hispanic,0.031069409228881212
2010,Kentucky,Young,0.18942144097371164
2012,Kentucky,Overall,0.56
2012,Kentucky,Hispanic,0.34870904101645384
2012,Kentucky,Young,0.3573434338138391
2014,Kentucky,Overall,0.45
2014,Kentucky,Hispanic,0.40272582324063394
2014,Kentucky,Young,0.23570233902053742
2016,Kentucky,Overall,0.6
2016,Kentucky,Hispanic,0.5061923974775271
2016,Kentucky,Young,0.5680239239034588
2018,Kentucky,Overall,0.49
2018,Kentucky,Hispanic,0.3002201802433538
2018,Kentucky,Young,0.22092098348210515
2020,Kentucky,Overall,0.64
2020,Kentucky,Hispanic,0.3962862122823968
2020,Kentucky,Young,0.5543376622639634
2022,Kentucky,Overall,0.45
2022,Kentucky,Hispanic,0.20047166090638016
2022,Kentucky,Young,0.3110890721709244
2010,Louisiana,Overall,0.4
2010,Louisiana,Hispanic,0.1915235475719445
2010,Louisiana,Young,0.19353066730147125
2012,Louisiana,Overall,0.61
2012,Louisiana,Hispanic,0.6232568226162912
2012,Louisiana,Young,0.3858100172085654
2014,Louisiana,Overall,0.45
2014,Louisiana,Hispanic,0.2809416990925585
2014,Louisiana,Young,0.24376020011250807
2016,Louisiana,Overall,0.61
2016,Louisiana,Hispanic,0.6714827174239532
2016,Louisiana,Young,0.4924443185947668
2018,Louisiana,Overall,0.45
2018,Louisiana,Hispanic,0.2815250024847761
2018,Louisiana,Young,0.2274453400264514
2020,Louisiana,Overall,0.64
2020,Louisiana,Hispanic,0.5701449698816539
2020,Louisiana,Young,0.48475545727809005
2022,Louisiana,Overall,0.42
2022,Louisiana,Hispanic,0.22570256177930562
2022,Louisiana,Young,0.22342045400474655
2010,Maine,Overall,0.56
2010,Maine,Hispanic,0.3076623858872069
2010,Maine,Young,0.2967308296759438
2012,Maine,Overall,0.69
2012,Maine,Hispanic,0.6343537244681738
2012,Maine,Young,0.4307993791903785
2014,Maine,Overall,0.59
2014,Maine,Hispanic,0.2626144197721062
2014,Maine,Young,0.2974304661643104
2016,Maine,Overall,0.73
2016,Maine,Hispanic,0.4492181197022613
2016,Maine,Young,0.4959081153411634
2018,Maine,Overall,0.6
2018,Maine,Hispanic,0.24856379370980475
2018,Maine,Young,0.2675057141891494
2020,Maine,Overall,0.75
2020,Maine,Hispanic,0.6683712095482883
2020,Maine,Young,0.6636023681491217
2022,Maine,Overall,0.61
2022,Maine,Hispanic,0.4526434732596285
2022,Maine,Young,0.3170931841637235
2010,Maryland,Overall,0.47
2010,Maryland,Hispanic,0.3331578738722822
2010,Maryland,Young,0.2238382061305969
2012,Maryland,Overall,0.67
2012,Maryland,Hispanic,0.6036611050150005
2012,Maryland,Young,0.4534120226204588
2014,Maryland,Overall,0.42
2014,Maryland,Hispanic,0.26482458964674815
2014,Maryland,Young,0.2100353064379958
2016,Maryland,Overall,0.67
2016,Maryland,Hispanic,0.6017607533856251
2016,Maryland,Young,0.5523957007060658
2018,Maryland,Overall,0.54
2018,Maryland,Hispanic,0.48138469263393924
2018,Maryland,Young,0.3760623586881588
2020,Maryland,Overall,0.69
2020,Maryland,Hispanic,0.6980753207670817
2020,Maryland,Young,0.6630753927450131
2022,Maryland,Overall,0.46
2022,Maryland,Hispanic,0.3026880931108606
2022,Maryland,Young,0.19599874675055187
2010,Massachusetts,Overall,0.5
2010,Massachusetts,Hispanic,0.13388679746017157
2010,Massachusetts,Young,0.2145992284910635
2012,Massachusetts,Overall,0.66
2012,Massachusetts,Hispanic,0.5840084103527993
2012,Massachusetts,Young,0.46529141968594623
2014,Massachusetts,Overall,0.45
2014,Massachusetts,Hispanic,0.16261762967643112
2014,Massachusetts,Young,0.19509948943387412
2016,Massachusetts,Overall,0.68
2016,Massachusetts,Hispanic,0.4545342499091356
2016,Massachusetts,Young,0.4359249176324537
2018,Massachusetts,Overall,0.55
2018,Massachusetts,Hispanic,0.4230967062803622
2018,Massachusetts,Young,0.33569144637914267
2020,Massachusetts,Overall,0.71
2020,Massachusetts,Hispanic,0.5425126864016708
2020,Massachusetts,Young,0.5910918531636639
2022,Massachusetts,Overall,0.49
2022,Massachusetts,Hispanic,0.3336760402583148
2022,Massachusetts,Young,0.28289219938283083
2010,Michigan,Overall,0.45
2010,Michigan,Hispanic,0.37806098375653346
2010,Michigan,Young,0.20782275649651627
2012,Michigan,Overall,0.65
2012,Michigan,Hispanic,0.6832803358410046
2012,Michigan,Young,0.4282861772873319
2014,Michigan,Overall,0.43
2014,Michigan,Hispanic,0.25378613618112256
2014,Michigan,Young,0.1697975189688786
2016,Michigan,Overall,0.66
2016,Michigan,Hispanic,0.3699909012908749
2016,Michigan,Young,0.38854454399032634
2018,Michigan,Overall,0.58
2018,Michigan,Hispanic,0.3912909425662021
