age_cluster,is_in_poverty,YEAR,vep_in_group,voters_in_group,turnout,total_vep,total_voters,pct_of_ve_population,pct_of_electorate,vri
30-44,FALSE,2000,41934499.12408099,23340167.635908015,55.65862982373113,168532512.6654,92192415.03529915,24.882142003861677,25.316798162811335,1.7468598920551104
30-44,FALSE,2002,42200014.34136,17648297.703297798,41.8205964588993,172453814.1876,76801138.76934169,24.470328209414763,22.97921357169099,-6.093562068162525
30-44,FALSE,2004,39496499.27781924,23347957.35737941,59.1139918329201,175654284.0783,102370884.47294457,22.48536065320969,22.80722441501422,1.4314369547752153
30-44,FALSE,2006,37370387.440083295,17193951.385336444,46.00956148207951,176961365.7732,86017980.12858626,21.117822682256257,19.988787646063777,-5.346361001227294
30-44,FALSE,2008,35774463.613631904,21464562.154616628,59.99967570845012,177691362.5187,105878714.0095248,20.132922110869092,20.27278320804471,0.6946885127028437
30-44,FALSE,2010,39280737.953667134,16300657.395616272,41.49783900405183,177092471.2646,80258522.78246115,22.180919196150594,20.31018866345051,-8.433963065988449
30-44,FALSE,2012,40490894.54446489,24105095.950876825,59.53213981085531,187479715.3831,113304440.7675453,21.597480272319032,21.27462594368273,-1.4948703486031103
30-44,FALSE,2014,40330151.7770605,14529386.507958166,36.0261141298813,185283024.8897,76485002.17658542,21.76678181990458,18.996386343054965,-12.727630109822819
30-44,FALSE,2016,41189466.233052656,24238846.8361005,58.84719821071616,191396744.7678,114793543.56918722,21.520463309354174,21.11516561163695,-1.883313067619019
30-44,FALSE,2018,40799279.14606346,20010114.012107708,49.04526361965979,188389284.1447,97968316.8097458,21.65690014232759,20.42508707275975,-5.6878549629561554
30-44,FALSE,2020,42896510.83405606,28337632.866459638,66.06046113186915,195188683.83269998,130406293.93307385,21.976945585033757,21.730264707164263,-1.1224529674291182
30-44,FALSE,2022,45483088.122546755,19936076.18025803,43.831843885673564,194992342.1462,94181927.6824724,23.325576595436125,21.16762384336736,-9.25144441012871
30-44,FALSE,2024,47020089.32108284,29373611.724598195,62.47034437560644,202787430.60999998,131661945.9817801,23.186885488732138,22.309872078499456,-3.782368316171111
30-44,TRUE,1994,5206576.828820708,1312688.0239331746,25.212112815984295,166151414.3345,80964863.55177622,3.133633769941135,1.621305794079087,-48.26115898956683
30-44,TRUE,1996,5472877.298680441,1560757.1663744326,28.518036878896314,166585472.5235,88705243.30350462,3.285326875012099,1.7594869347624793,-46.44408298775447
30-44,TRUE,1998,4242391.303753392,955012.7677111779,22.511190018380546,168352053.918,74475281.1135593,2.5199522102770144,1.2823218031966637,-49.113249133573845
30-44,TRUE,2000,3676966.429802749,1009051.9143018171,27.44251092757319,168532512.6654,92192415.03529915,2.1817549454703147,1.0945064340873005,-49.833667783832574
30-44,TRUE,2002,3305906.493347224,721292.6908495204,21.818302855844326,172453814.1876,76801138.76934169,1.9169807921737052,0.9391692654659618,-51.0078938036193
30-44,TRUE,2004,3911029.7123131724,1300120.806857399,33.242417022918616,175654284.0783,102370884.47294457,2.2265495731204505,1.2700103291585858,-42.96060844588787
30-44,TRUE,2006,3644200.238548255,845536.7735592184,23.202258882899805,176961365.7732,86017980.12858626,2.059319684059622,0.9829767826392171,-52.266916581818215
30-44,TRUE,2008,4046403.074751425,1387002.1940427606,34.277410540173776,177691362.5187,105878714.0095248,2.2772086484088874,1.3099915379761664,-42.47380278959185
30-44,TRUE,2010,5194221.246063033,1234064.7396029695,23.758416924160297,177092471.2646,80258522.78246115,2.933055939064833,1.5376120775956381,-47.576448948127265
30-44,TRUE,2012,5220091.517380436,2082666.1934910868,39.89712031976438,187479715.3831,113304440.7675453,2.7843500331294995,1.8381152401289127,-33.98404589013028
30-44,TRUE,2014,5006342.347690822,948100.1156131497,18.937980061440694,185283024.8897,76485002.17658542,2.7019973096138328,1.2395895778681096,-54.123211986274306
30-44,TRUE,2016,4513541.869480581,1572417.7407357274,34.83777898169097,191396744.7678,114793543.56918722,2.3582124528587727,1.3697789020582114,-41.91452511423728
30-44,TRUE,2018,4712195.61790036,1156356.0409979348,24.53964425002328,188389284.1447,97968316.8097458,2.501307672192739,1.1803367442186181,-52.81121321696937
30-44,TRUE,2020,4905139.889044702,1939773.4364018734,39.54573121827221,195188683.83269998,130406293.93307385,2.513024727011835,1.4874845207988117,-40.80899782599686
30-44,TRUE,2022,4252313.6722782785,740611.0506176028,17.416660850910436,194992342.1462,94181927.6824724,2.180759318789047,0.786362170367249,-63.94090060319414
30-44,TRUE,2024,4304380.078898974,1414719.060825394,32.86696422931285,202787430.60999998,131661945.9817801,2.1226069416388733,1.0745086974646179,-49.37787696882847
45-59,FALSE,1994,30419460.69164651,19060261.76308633,62.658118617863835,166151414.3345,80964863.55177622,18.30827670862032,23.541399227947178,28.583370257141027
45-59,FALSE,1996,30895965.390781816,20340914.748705592,65.83679937308109,166585472.5235,88705243.30350462,18.54661449330365,22.930904635602246,23.63930163039495
45-59,FALSE,1998,33772483.53950584,19179818.689512763,56.7912592719955,168352053.918,74475281.1135593,20.060630537929494,25.753267933648388,28.377160852225355
45-59,FALSE,2000,33717900.01652399,22422929.175571334,66.50155900747859,168532512.6654,92192415.03529915,20.00676278022782,24.32188067422457,21.56829638756587
45-59,FALSE,2002,37024590.88957483,20909266.071952008,56.473996253769585,172453814.1876,76801138.76934169,21.469279217737956,27.2252031766732,26.81004751281865
45-59,FALSE,2004,37592902.048434064,25927592.17053938,68.96938187196803,175654284.0783,102370884.47294457,21.40164257632144,25.327115521202455,18.34192366722412
45-59,FALSE,2006,39160562.01372363,23665028.666673027,60.43076873712827,176961365.7732,86017980.12858626,22.12944155500766,27.511723283081896,24.321814514367098
45-59,FALSE,2008,37788498.70814612,25990066.116313946,68.77771545528807,177691362.5187,105878714.0095248,21.266367803426185,24.547017178519837,15.426467770227847
45-59,FALSE,2010,43656564.15047874,24561121.45661521,56.25985904881584,177092471.2646,80258522.78246115,24.6518464837785,30.602508749366788,24.138809518808117
45-59,FALSE,2012,45974387.02663937,31841423.181335967,69.25904887624884,187479715.3831,113304440.7675453,24.522326019481277,28.102537698995963,14.599804588971121
45-59,FALSE,2014,44193223.89561339,21960773.75474239,49.69262664931357,185283024.8897,76485002.17658542,23.851739209202705,28.71252288656574,20.379158243888565
45-59,FALSE,2016,44595471.41212718,30578708.525922954,68.56908909725631,191396744.7678,114793543.56918722,23.30001561219331,26.63800382422454,14.326120066135934
45-59,FALSE,2018,42791982.40118766,25389156.369845312,59.33157321811914,188389284.1447,97968316.8097458,22.714658424159385,25.915680902378863,14.092320555500232
45-59,FALSE,2020,41907308.06672886,31060861.359429084,74.11800660154783,195188683.83269998,130406293.93307385,21.470152492369092,23.81852932295577,10.937867494985586
45-59,FALSE,2022,41140423.67832637,23034236.136355065,55.989302192067555,194992342.1462,94181927.6824724,21.098481727800564,24.45717209570539,15.919109304814205
45-59,FALSE,2024,41924795.00714352,30411946.29537494,72.53928442629972,202787430.60999998,131661945.9817801,20.67425721654964,23.098508888501062,11.725943266347771
45-59,TRUE,1994,2764704.1581071373,915586.2281190148,33.11696933048611,166151414.3345,80964863.55177622,1.66396667111191,1.1308439092638087,-32.03926924160407
45-59,TRUE,1996,2842235.937298142,1050185.3781855009,36.94926815906134,166585472.5235,88705243.30350462,1.7061727497859642,1.1839045123773528,-30.610513353593813
45-59,TRUE,1998,2432548.2432097835,798566.8056163968,32.82840567892195,168352053.918,74475281.1135593,1.4449174729965668,1.0722575244781536,-25.79108879800353
45-59,TRUE,2000,2511680.971770056,858923.3714837469,34.19715247030112,168532512.6654,92192415.03529915,1.4903242893890043,0.9316638154612584,-37.48583297644453
45-59,TRUE,2002,2299776.4440515153,646040.5154144407,28.091448500807815,172453814.1876,76801138.76934169,1.3335607883683893,0.8411861149021582,-36.92180197264582
45-59,TRUE,2004,2745388.322273777,982323.9380683133,35.78087406064058,175654284.0783,102370884.47294457,1.5629498231025138,0.9595735575850476,-38.60496713322132
45-59,TRUE,2006,2891192.5672787894,812427.8155144094,28.100093529192772,176961365.7732,86017980.12858626,1.6337987416893271,0.9444860415228654,-42.190796367839106
45-59,TRUE,2008,3630732.7050650506,1489012.8040111596,41.01135844932659,177691362.5187,105878714.0095248,2.0432803562316977,1.4063382030473175,-31.172528588247935
45-59,TRUE,2010,4958384.814181998,1614416.321650161,32.559318853845284,177092471.2646,80258522.78246115,2.7998845906743846,2.0115201048815696,-28.15703505846747
45-59,TRUE,2012,4828021.906724514,2145630.066584432,44.441183325949254,187479715.3831,113304440.7675453,2.5752236165170364,1.8936857655794743,-26.465191083457636
45-59,TRUE,2014,4763313.072433755,1211348.8364249263,25.430804526270677,185283024.8897,76485002.17658542,2.5708308007543494,1.583773029944111,-38.39450540738074
45-59,TRUE,2016,4521602.980115882,1756467.2635117094,38.84611876000431,191396744.7678,114793543.56918722,2.362424181038936,1.5301098031293623,-35.23136888751039
45-59,TRUE,2018,4212153.449562399,1355600.010271926,32.18306328352685,188389284.1447,97968316.8097458,2.235877411332528,1.3837126679480443,-38.11321403692765
45-59,TRUE,2020,3954962.508120986,1706335.8680887695,43.144173037924816,195188683.83269998,130406293.93307385,2.0262253069501,1.308476620740777,-35.42294550104537
45-59,TRUE,2022,3211590.4968227576,972567.4622096472,30.283047081245662,194992342.1462,94181927.6824724,1.6470341663032046,1.032647649226918,-37.3025969737645
45-59,TRUE,2024,3291017.127304824,1331093.4729356922,40.44626391919723,202787430.60999998,131661945.9817801,1.6228900960011154,1.0109933155020314,-37.704141642544315
60+,FALSE,1994,28302640.66865872,19197833.305037934,67.8305375452012,166151414.3345,80964863.55177622,17.034246011098745,23.711314344105716,39.19790948572948
60+,FALSE,1996,26160515.22941595,18519786.905319933,70.79289816316587,166585472.5235,88705243.30350462,15.703959554891872,20.877894266018256,32.94668897383064
60+,FALSE,1998,27991267.821762227,18054914.110039607,64.50195191231226,168352053.918,74475281.1135593,16.626626863368152,24.242827741072396,45.80725206797229
60+,FALSE,2000,26290243.586587828,18415369.978009976,70.04640302155558,168532512.6654,92192415.03529915,15.599508469195962,19.97492957632035,28.04845496102934
60+,FALSE,2002,28184551.84584604,17836691.109693237,63.28534584211275,172453814.1876,76801138.76934169,16.343246438832665,23.224513849023133,42.10465427382964
