YEAR,STATE,STATE_ABV,TOTAL_BALLOTS_COUNTED,VOTE_FOR_HIGHEST_OFFICE,VAP,NONCITIZEN_PCT,INELIGIBLE_PRISON,INELIGIBLE_PROBATION,INELIGIBLE_PAROLE,INELIGIBLE_FELONS_TOTAL,VEP,VEP_TURNOUT_RATE,VAP_TURNOUT_RATE
2018,Missouri,MO,"2,442,306","2,442,289","4,752,240",0.02,"30,151","25,006","19,251","74,408","4,569,481",0.53,0.51
2018,Montana,MT,"509,213","504,384","834,674",0.01,"3,754",0,0,"3,754","819,652",0.62,0.61
2018,Nebraska,NE,"706,652","698,417","1,452,363",0.05,"5,266","8,490",958,"14,714","1,368,807",0.52,0.49
2018,Nevada,NV,"975,980","972,132","2,355,238",0.10,"12,420",7558.2,6492,"26,470","2,085,237",0.47,0.41
2018,New Hampshire,NH,"580,568","573,608","1,098,605",0.03,"2,635",0,0,"2,635","1,067,406",0.54,0.53
2018,New Jersey,NJ,"3,248,642","3,169,310","6,937,759",0.11,"18,099",74867.79,14967,"107,934","6,051,408",0.54,0.47
2018,New Mexico,NM,"701,654","696,459","1,614,275",0.06,"6,887","6,891","2,805","16,583","1,501,320",0.47,0.43
2018,New York,NY,"6,230,959","6,104,477","15,448,193",0.10,"42,472",0,45192,"87,664","13,766,275",0.45,0.40
2018,North Carolina,NC,"3,755,778","3,693,104","8,115,658",0.05,"33,700",45638.76,14215,"93,554","7,586,293",0.50,0.46
2018,North Dakota,ND,"330,598","326,138","580,647",0.03,"1,679",0,0,"1,679","563,523",0.59,0.57
2018,Ohio,OH,"4,496,834","4,429,582","9,092,226",0.03,"49,932",0,0,"49,932","8,811,352",0.51,0.49
2018,Oklahoma,OK,"1,190,000","1,186,385","2,992,026",0.04,"27,572","23,690","1,780","53,042","2,815,712",0.42,0.40
2018,Oregon,OR,"1,914,923","1,866,997","3,325,599",0.06,"13,795",0,0,"13,795","3,127,898",0.61,0.58
2018,Pennsylvania,PA,"5,043,029","5,012,555","10,155,993",0.04,"44,162",0,0,"44,162","9,745,199",0.52,0.50
2018,Rhode Island,RI,"381,267","376,738","853,159",0.07,"2,767",0,0,"2,767","792,803",0.48,0.45
2018,South Carolina,SC,"1,726,527","1,707,569","3,997,248",0.03,"18,613","18,226","4,980","41,819","3,823,919",0.45,0.43
2018,South Dakota,SD,"341,048","339,214","664,037",0.02,"3,867",0,"3,201","7,068","642,227",0.53,0.51
2018,Tennessee,TN,"2,267,428","2,243,740","5,281,898",0.03,"26,120","34,914","10,842","71,876","5,026,212",0.45,0.43
2018,Texas,TX,"8,375,000","8,371,655","21,367,177",0.12,"154,935","209,855","109,213","474,003","18,284,242",0.46,0.39
2018,Utah,UT,"1,082,972","1,065,630","2,240,839",0.06,"6,288",0,0,"6,288","2,102,342",0.52,0.48
2018,Vermont,VT,"278,230","274,087","509,304",0.02,0,0,0,0,"499,271",0.56,0.55
2018,Virginia,VA,"3,363,505","3,351,373","6,648,405",0.06,"35,754","35,973","1,860","73,587","6,175,249",0.54,0.51
2018,Washington,WA,"3,133,448","3,086,168","5,894,441",0.09,"18,787","43,703","12,222","74,712","5,301,018",0.59,0.53
2018,West Virginia,WV,"597,149","586,034","1,437,430",0.01,"6,757","3,758","4,287","14,802","1,409,691",0.42,0.42
2018,Wisconsin,WI,"2,675,000","2,673,308","4,540,190",0.03,"23,595","24,458","21,015","69,068","4,332,646",0.62,0.59
2018,Wyoming,WY,"205,275","203,420","443,716",0.03,"2,488","3,068",934,"6,490","426,089",0.48,0.46
2016,Alabama,AL,"2,134,061","2,123,372","3,770,952",0.03,"28,680","52,177","8,562","66,983","3,609,696",0.59,0.57
2016,Alaska,AK,"321,271","318,608","554,526",0.04,"4,317","6,621","1,812","9,903","521,888",0.62,0.58
2016,Arizona,AZ,"2,661,497","2,604,657","5,347,427",0.09,"37,582","77,373","7,500","89,185","4,755,584",0.56,0.50
2016,Arkansas,AR,"1,137,772","1,130,635","2,287,921",0.04,"17,242","30,881","23,792","58,636","2,142,344",0.53,0.50
2016,California,CA,"14,610,509","14,181,595","30,130,155",0.16,"130,390",0,0,"130,390","25,058,420",0.58,0.48
2016,Colorado,CO,"2,859,216","2,780,247","4,301,685",0.07,"18,576",0,10186,"28,762","3,971,805",0.72,0.66
2016,Connecticut,CT,"1,675,955","1,644,920","2,827,488",0.08,"14,475",0,3379,"17,854","2,589,090",0.65,0.59
2016,Delaware,DE,"445,228","443,814","748,217",0.06,"6,254","15,395",387,"15,416","690,153",0.65,0.60
2016,District of Columbia,DC,"312,575","311,268","565,352",0.08,0,0,0,0,"517,863",0.60,0.55
2016,Florida,FL,"9,580,489","9,420,039","16,533,216",0.11,"92,847","214,066","4,566","219,431","14,577,798",0.66,0.58
2016,Georgia,GA,"4,165,405","4,114,732","7,831,741",0.07,"51,092","410,964","22,386","307,727","6,960,129",0.60,0.53
2016,Hawaii,HI,"437,664","428,937","1,120,762",0.09,"5,474",0,0,"5,474","1,013,299",0.43,0.39
2016,Idaho,ID,"710,545","690,255","1,256,143",0.04,"7,949","32,409","5,054","31,476","1,169,396",0.61,0.57
2016,Illinois,IL,"5,666,118","5,589,631","9,887,574",0.09,"42,017",0,0,"42,017","9,005,114",0.63,0.57
2016,Indiana,IN,"2,807,676","2,734,958","5,072,700",0.04,"24,948",0,0,"24,948","4,860,062",0.58,0.55
2016,Iowa,IA,"1,581,371","1,566,031","2,404,019",0.04,"8,888","29,254","6,051","31,614","2,285,860",0.69,0.66
2016,Kansas,KS,"1,225,667","1,184,402","2,196,904",0.05,"9,613","16,654","4,830","23,936","2,058,729",0.60,0.56
2016,Kentucky,KY,"1,955,195","1,924,149","3,430,752",0.02,"22,868","48,457","15,383","65,871","3,282,543",0.60,0.57
2016,Louisiana,LA,"2,049,531","2,029,032","3,563,801",0.03,"35,543","40,174","30,907","89,349","3,378,229",0.61,0.58
2016,Maine,ME,"771,892","747,927","1,079,197",0.02,0,0,0,0,"1,059,772",0.73,0.72
2016,Maryland,MD,"2,807,322","2,781,446","4,663,738",0.09,19382,72529,10305,"71,029","4,182,300",0.67,0.60
2016,Massachusetts,MA,"3,378,801","3,325,046","5,453,921",0.09,"8,780",0,0,"8,780","4,959,742",0.68,0.62
2016,Michigan,MI,"4,874,619","4,799,284","7,765,389",0.04,"40,502",0,0,"40,502","7,437,567",0.66,0.63
2016,Minnesota,MN,"2,968,281","2,944,813","4,242,668",0.05,"10,158","96,852","7,075","72,439","3,975,066",0.75,0.70
2016,Mississippi,MS,"1,209,357","1,209,357","2,268,353",0.01,"19,150","29,067","8,645","44,363","2,192,233",0.55,0.53
2016,Missouri,MO,"2,811,549","2,808,605","4,709,176",0.03,"31,956","43,799","17,792","74,713","4,516,733",0.62,0.60
2016,Montana,MT,"516,901","497,147","816,023",0.01,"3,795",0,0,"3,795","802,436",0.64,0.63
2016,Nebraska,NE,"860,573","844,227","1,435,123",0.06,"5,079","13,489",1088,"13,856","1,342,336",0.64,0.60
2016,Nevada,NV,"1,125,429","1,125,385","2,260,341",0.13,"13,742",13724,5261,"26,826","1,948,712",0.58,0.50
2016,New Hampshire,NH,"755,850","744,296","1,082,981",0.03,"2,818",0,0,"2,818","1,048,757",0.72,0.70
2016,New Jersey,NJ,"3,957,303","3,874,046","6,903,418",0.12,"18,504",140589,15128,"113,768","5,961,240",0.66,0.57
2016,New Mexico,NM,"804,043","798,319","1,600,627",0.07,"6,914","12,714","2,780","16,941","1,473,243",0.55,0.50
2016,New York,NY,"7,786,881","7,721,453","15,473,628",0.12,"46,416",0,44426,"90,842","13,525,950",0.58,0.50
2016,North Carolina,NC,"4,769,640","4,741,564","7,898,733",0.06,"34,357",82466,12726,"94,089","7,370,213",0.65,0.60
2016,North Dakota,ND,"349,945","344,360","579,842",0.02,"1,791",0,0,"1,791","565,295",0.62,0.60
2016,Ohio,OH,"5,607,641","5,496,487","9,028,098",0.02,"51,666",0,0,"51,666","8,759,758",0.64,0.62
2016,Oklahoma,OK,"1,465,505","1,452,992","2,972,077",0.05,"26,691","33,562","1,895","47,716","2,784,673",0.53,0.49
2016,Oregon,OR,"2,056,310","2,001,336","3,233,909",0.06,"15,166",0,0,"15,166","3,015,007",0.68,0.64
2016,Pennsylvania,PA,"6,223,150","6,165,478","10,114,662",0.04,"48,098",0,0,"48,098","9,692,322",0.64,0.62
2016,Rhode Island,RI,"469,589","464,144","848,850",0.07,"3,038",0,0,"3,038","785,544",0.60,0.55
2016,South Carolina,SC,"2,123,584","2,103,027","3,881,185",0.03,"20,350","32,634","4,347","43,298","3,705,927",0.57,0.55
2016,South Dakota,SD,"378,995","370,093","651,179",0.03,"3,744",0,"2,687","6,431","628,468",0.60,0.58
2016,Tennessee,TN,"2,545,271","2,508,027","5,162,937",0.04,"27,906","62,609","12,092","75,685","4,906,550",0.52,0.49
