pct_name,pct_id,pct_num,reg_vot,cand_name,cand_party,votes
03-305 Lynn Canal,03-305,27,1426,YES,YES,161
03-305 Lynn Canal,03-305,27,1426,NO,NO,261
03-310 Melvin Park,03-310,28,2350,Harris/Walz,DEM,259
03-310 Melvin Park,03-310,28,2350,Kennedy/Shanahan,RFK,16
03-310 Melvin Park,03-310,28,2350,Oliver/Maat,LIB,10
03-310 Melvin Park,03-310,28,2350,Sonski/Onak,ASP,0
03-310 Melvin Park,03-310,28,2350,Stein/Ware,GRN,7
03-310 Melvin Park,03-310,28,2350,Terry/Broden,CON,2
03-310 Melvin Park,03-310,28,2350,Trump/Vance,REP,273
03-310 Melvin Park,03-310,28,2350,West/Abdullah,AUR,2
03-310 Melvin Park,03-310,28,2350,YES,YES,206
03-310 Melvin Park,03-310,28,2350,NO,NO,350
03-315 Mendenhall Glacier,03-315,29,3379,Harris/Walz,DEM,400
03-315 Mendenhall Glacier,03-315,29,3379,Kennedy/Shanahan,RFK,19
03-315 Mendenhall Glacier,03-315,29,3379,Oliver/Maat,LIB,13
03-315 Mendenhall Glacier,03-315,29,3379,Sonski/Onak,ASP,3
03-315 Mendenhall Glacier,03-315,29,3379,Stein/Ware,GRN,3
03-315 Mendenhall Glacier,03-315,29,3379,Terry/Broden,CON,1
03-315 Mendenhall Glacier,03-315,29,3379,Trump/Vance,REP,477
03-315 Mendenhall Glacier,03-315,29,3379,West/Abdullah,AUR,3
03-315 Mendenhall Glacier,03-315,29,3379,YES,YES,391
03-315 Mendenhall Glacier,03-315,29,3379,NO,NO,512
03-320 Thunder Mountain,03-320,30,3568,Harris/Walz,DEM,361
03-320 Thunder Mountain,03-320,30,3568,Kennedy/Shanahan,RFK,13
03-320 Thunder Mountain,03-320,30,3568,Oliver/Maat,LIB,9
03-320 Thunder Mountain,03-320,30,3568,Sonski/Onak,ASP,4
03-320 Thunder Mountain,03-320,30,3568,Stein/Ware,GRN,5
03-320 Thunder Mountain,03-320,30,3568,Terry/Broden,CON,0
03-320 Thunder Mountain,03-320,30,3568,Trump/Vance,REP,404
03-320 Thunder Mountain,03-320,30,3568,West/Abdullah,AUR,3
03-320 Thunder Mountain,03-320,30,3568,YES,YES,299
03-320 Thunder Mountain,03-320,30,3568,NO,NO,473
03-325 Gustavus,03-325,31,579,Harris/Walz,DEM,104
03-325 Gustavus,03-325,31,579,Kennedy/Shanahan,RFK,1
03-325 Gustavus,03-325,31,579,Oliver/Maat,LIB,4
03-325 Gustavus,03-325,31,579,Sonski/Onak,ASP,0
03-325 Gustavus,03-325,31,579,Stein/Ware,GRN,4
03-325 Gustavus,03-325,31,579,Terry/Broden,CON,1
03-325 Gustavus,03-325,31,579,Trump/Vance,REP,75
03-325 Gustavus,03-325,31,579,West/Abdullah,AUR,0
03-325 Gustavus,03-325,31,579,YES,YES,63
03-325 Gustavus,03-325,31,579,NO,NO,117
03-330 Haines No. 1,03-330,32,2148,Harris/Walz,DEM,283
03-330 Haines No. 1,03-330,32,2148,Kennedy/Shanahan,RFK,13
03-330 Haines No. 1,03-330,32,2148,Oliver/Maat,LIB,15
03-330 Haines No. 1,03-330,32,2148,Sonski/Onak,ASP,1
03-330 Haines No. 1,03-330,32,2148,Stein/Ware,GRN,10
03-330 Haines No. 1,03-330,32,2148,Terry/Broden,CON,1
03-330 Haines No. 1,03-330,32,2148,Trump/Vance,REP,316
03-330 Haines No. 1,03-330,32,2148,West/Abdullah,AUR,3
03-330 Haines No. 1,03-330,32,2148,YES,YES,266
03-330 Haines No. 1,03-330,32,2148,NO,NO,354
03-335 Haines No. 2,03-335,33,317,Harris/Walz,DEM,46
03-335 Haines No. 2,03-335,33,317,Kennedy/Shanahan,RFK,1
03-335 Haines No. 2,03-335,33,317,Oliver/Maat,LIB,1
03-335 Haines No. 2,03-335,33,317,Sonski/Onak,ASP,1
03-335 Haines No. 2,03-335,33,317,Stein/Ware,GRN,4
03-335 Haines No. 2,03-335,33,317,Terry/Broden,CON,0
03-335 Haines No. 2,03-335,33,317,Trump/Vance,REP,55
03-335 Haines No. 2,03-335,33,317,West/Abdullah,AUR,1
03-335 Haines No. 2,03-335,33,317,YES,YES,40
03-335 Haines No. 2,03-335,33,317,NO,NO,63
03-340 Klukwan,03-340,34,71,Harris/Walz,DEM,26
03-340 Klukwan,03-340,34,71,Kennedy/Shanahan,RFK,0
03-340 Klukwan,03-340,34,71,Oliver/Maat,LIB,1
03-340 Klukwan,03-340,34,71,Sonski/Onak,ASP,0
03-340 Klukwan,03-340,34,71,Stein/Ware,GRN,4
03-340 Klukwan,03-340,34,71,Terry/Broden,CON,0
03-340 Klukwan,03-340,34,71,Trump/Vance,REP,10
03-340 Klukwan,03-340,34,71,West/Abdullah,AUR,0
03-340 Klukwan,03-340,34,71,YES,YES,7
03-340 Klukwan,03-340,34,71,NO,NO,32
03-345 Skagway,03-345,35,1227,Harris/Walz,DEM,260
03-345 Skagway,03-345,35,1227,Kennedy/Shanahan,RFK,9
03-345 Skagway,03-345,35,1227,Oliver/Maat,LIB,9
03-345 Skagway,03-345,35,1227,Sonski/Onak,ASP,1
03-345 Skagway,03-345,35,1227,Stein/Ware,GRN,3
03-345 Skagway,03-345,35,1227,Terry/Broden,CON,1
03-345 Skagway,03-345,35,1227,Trump/Vance,REP,124
03-345 Skagway,03-345,35,1227,West/Abdullah,AUR,4
03-345 Skagway,03-345,35,1227,YES,YES,110
03-345 Skagway,03-345,35,1227,NO,NO,274
04-100 Douglas,04-100,36,1789,Harris/Walz,DEM,382
04-100 Douglas,04-100,36,1789,Kennedy/Shanahan,RFK,9
04-100 Douglas,04-100,36,1789,Oliver/Maat,LIB,2
04-100 Douglas,04-100,36,1789,Sonski/Onak,ASP,1
04-100 Douglas,04-100,36,1789,Stein/Ware,GRN,10
04-100 Douglas,04-100,36,1789,Terry/Broden,CON,1
04-100 Douglas,04-100,36,1789,Trump/Vance,REP,121
04-100 Douglas,04-100,36,1789,West/Abdullah,AUR,1
04-100 Douglas,04-100,36,1789,YES,YES,104
04-100 Douglas,04-100,36,1789,NO,NO,406
04-105 Juneau Airport Area,04-105,37,1593,Harris/Walz,DEM,121
04-105 Juneau Airport Area,04-105,37,1593,Kennedy/Shanahan,RFK,7
04-105 Juneau Airport Area,04-105,37,1593,Oliver/Maat,LIB,3
04-105 Juneau Airport Area,04-105,37,1593,Sonski/Onak,ASP,2
04-105 Juneau Airport Area,04-105,37,1593,Stein/Ware,GRN,1
